country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)",Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants).1,Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)","Pop. using improved sanitation facilities (urban/rural, %)",Country,Crude suicide rates (per 100 000 population) (Both sexes)
Togo,WesternAfrica,56785.0,7798.0,143.4,99.4,4086.0,5.5,559.4,45.7,19.7,34.6,62.5,8.7,28.7,6.8,140.0,143.0,715.0,1716.0,-1001.0,-461.0,2.6,40.0,3.8,4.7,13.8,55.7,5.2,,5.2,17.6,65.0,7.1,80.0,3.8,111.0,20.0,5.51,Togo,8.8
Tonga,Polynesia,747.0,108.0,150.0,100.7,402.0,3.8,3784.5,22.4,21.5,56.1,33.3,28.2,38.5,4.8,134.0,134.0,14.0,209.0,-196.0,-33.0,0.4,23.7,0.7,3.8,,20.6,5.2,,,3.8,65.6,45.0,79.0,12.5,0.0,15.0,18.3,Tonga,3.8
Trinidad and Tobago,Caribbean,5127.0,1369.0,266.9,97.1,25927.0,0.2,19062.9,0.5,42.5,57.0,4.1,31.6,64.3,4.2,95.0,95.0,4576.0,4826.0,-249.0,,0.5,8.4,-1.2,1.8,0.2,24.8,5.9,,,31.0,157.7,69.2,69.0,45.4,1663.0,607.0,,Trinidad and Tobago,8.7
Tunisia,NorthernAfrica,163610.0,11532.0,74.2,97.6,41199.0,0.8,3660.9,10.3,27.8,62.0,11.7,29.4,58.9,14.6,108.0,108.0,13483.0,19456.0,-5973.0,-3850.0,1.2,66.8,1.4,2.3,0.7,18.5,7.0,1.6,6.3,31.3,129.9,48.5,96.0,6.6,274.0,39.0,1.14,Tunisia,3.3
Turkey,WesternAsia,783562.0,80745.0,104.9,97.0,717888.0,4.0,9125.8,8.6,26.4,65.0,19.6,27.5,52.9,10.8,120.0,122.0,142606.0,198602.0,-55996.0,-32278.0,1.6,73.4,2.0,2.1,3006.3,12.6,5.4,1.7,4.8,14.9,96.0,53.7,388.0,15.1,1303.0,65.0,0.3,Turkey,2.4
Turkmenistan,CentralAsia,488100.0,5758.0,12.3,97.0,37597.0,6.5,6996.7,13.4,51.0,35.6,17.9,37.4,44.7,8.6,103.0,109.0,3741.0,2616.0,1125.0,,1.8,50.0,1.9,3.0,7.2,46.9,2.1,2.3,3.1,25.8,145.9,15.0,54.0,8.8,3270.0,212.0,0.07,Turkmenistan,5.7
Uganda,EasternAfrica,241550.0,42863.0,214.5,99.0,25282.0,5.4,647.7,25.6,21.5,52.9,72.0,7.4,20.5,2.4,93.0,90.0,2755.0,3750.0,-996.0,-2353.0,3.4,16.1,5.4,5.9,727.1,60.2,7.2,,2.2,34.3,50.4,19.2,196.0,11.0,409.0,12.0,6.35,Uganda,4.6
Ukraine,EasternEurope,603500.0,44223.0,76.3,86.0,90615.0,-9.9,2021.6,14.0,26.3,59.7,15.7,24.6,59.7,8.8,137.0,137.0,36369.0,39184.0,-2815.0,-189.0,-0.5,69.7,-0.3,1.5,1644.8,8.8,7.1,3.0,5.9,12.3,144.0,49.3,102.0,16.6,3203.0,98.0,1.63,Ukraine,21.6
United Arab Emirates,WesternAsia,83600.0,9400.0,112.4,262.4,370296.0,3.8,40438.8,0.7,44.9,54.4,3.5,21.1,75.4,3.7,70.0,70.0,195613.0,201908.0,-6296.0,,2.0,85.5,2.9,1.8,1.3,6.2,3.6,1.6,,20.0,187.4,91.2,56.0,3.8,8642.0,366.0,,United Arab Emirates,6.4
United Republic of Tanzania,EasternAfrica,947303.0,57310.0,64.7,97.8,45628.0,7.0,877.3,31.1,26.1,42.9,66.9,6.4,26.7,2.7,176.0,180.0,4742.0,7876.0,-3134.0,-3312.0,3.1,31.6,5.4,5.2,402.1,44.0,5.6,0.0,3.5,36.4,75.9,5.4,1082.0,52.4,935.0,20.0,5.85,United Republic of Tanzania,4.3
United States of America,NorthernAmerica,9833517.0,324460.0,35.5,98.0,18036648.0,2.6,56053.8,1.0,19.7,79.3,1.5,17.2,81.3,4.9,111.0,113.0,1453167.0,2249661.0,-796494.0,-462961.0,0.7,81.6,1.0,1.9,616.5,6.0,17.1,2.6,5.4,19.1,117.6,74.6,1513.0,33.9,83887.0,289.0,,United States of America,16.1
Uruguay,SouthAmerica,173626.0,3457.0,19.8,93.5,53442.0,1.0,15573.8,6.8,28.0,65.2,8.7,20.5,70.8,8.8,129.0,130.0,6964.0,8137.0,-1173.0,-1141.0,0.3,95.3,0.5,2.0,0.5,12.7,8.6,,4.4,20.2,160.2,64.6,106.0,10.4,113.0,58.0,0.04,Uruguay,21.2
Uzbekistan,CentralAsia,448969.0,31911.0,75.0,99.4,69004.0,6.8,2308.3,19.2,32.9,47.9,29.0,23.9,47.1,8.9,158.0,174.0,27947.0,25652.0,2295.0,,1.6,36.4,1.4,2.4,86.7,31.3,5.8,2.5,,16.0,73.3,42.8,59.0,7.6,2339.0,62.0,0.66,Uzbekistan,8.0
Vanuatu,Melanesia,12189.0,276.0,22.7,102.4,737.0,-1.0,2783.0,26.7,8.4,64.9,61.4,6.8,31.8,5.3,123.0,122.0,50.0,416.0,-366.0,-82.0,2.3,26.1,3.4,3.4,0.0,24.3,5.0,0.2,5.5,0.0,66.2,22.4,137.0,36.1,1.0,12.0,12.32,Vanuatu,18.0
Venezuela (Bolivarian Republic of),SouthAmerica,912050.0,31977.0,36.3,99.0,344331.0,-6.2,11068.9,5.3,44.7,50.0,11.9,26.8,61.3,6.6,118.0,119.0,19731.0,16324.0,3407.0,-20360.0,1.4,89.0,1.5,2.4,174.2,13.8,5.3,,,22.2,93.0,61.9,328.0,53.1,7460.0,90.0,0.01,Venezuela (Bolivarian Republic of),2.1
Viet Nam,South-easternAsia,330967.0,95541.0,308.1,98.0,193241.0,6.7,2067.9,18.9,37.0,44.2,41.8,22.9,35.2,2.2,136.0,134.0,176632.0,174111.0,2520.0,906.0,1.1,33.6,3.0,2.0,11.0,19.3,7.1,1.2,5.7,26.7,130.6,52.7,616.0,47.2,2977.0,30.0,1.73,Viet Nam,7.5
Yemen,WesternAsia,527968.0,28250.0,53.5,102.1,29688.0,-28.1,1106.4,14.7,36.9,48.4,32.9,17.9,49.2,16.1,136.0,137.0,570.0,6861.0,-6291.0,-3026.0,2.6,34.6,4.0,4.4,3371.4,47.2,5.6,0.3,,0.0,68.0,25.1,298.0,1.0,668.0,12.0,2.99,Yemen,5.8
Zambia,EasternAfrica,752612.0,17094.0,23.0,98.5,21255.0,2.9,1311.1,8.2,32.3,59.5,54.8,9.9,35.3,7.4,179.0,180.0,6505.0,7442.0,-937.0,-768.0,3.0,40.9,4.3,5.2,55.3,53.8,5.0,0.2,,18.0,74.5,21.0,88.0,65.6,374.0,26.0,3.96,Zambia,7.3
Zimbabwe,EasternAfrica,390757.0,16530.0,42.7,95.0,13893.0,1.1,890.4,13.0,30.5,56.5,67.5,7.3,25.2,5.0,99.0,98.0,2832.0,5212.0,-2379.0,-1521.0,2.3,32.4,2.3,4.0,308.6,46.5,6.0,0.1,8.4,32.6,84.8,16.4,89.0,37.2,482.0,30.0,6.0,Zimbabwe,14.1
