country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)",Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants).1,Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)","Pop. using improved sanitation facilities (urban/rural, %)",Country,Crude suicide rates (per 100 000 population) (Both sexes)
Liberia,WesternAfrica,111369.0,4732.0,49.1,101.8,2053.0,0.3,455.9,70.8,11.4,17.9,45.3,11.7,43.0,4.1,104.0,121.0,641.0,727.0,-86.0,-860.0,2.6,49.7,3.4,4.8,22.1,59.0,10.0,,2.8,12.3,81.1,5.9,172.0,43.7,73.0,19.0,61.73,Liberia,4.5
Libya,NorthernAfrica,1676198.0,6375.0,3.6,101.7,34457.0,-10.2,5488.2,0.9,67.1,32.0,19.1,25.1,55.8,19.2,113.0,114.0,4615.0,8876.0,-4261.0,-108.0,0.2,78.6,1.1,2.4,472.5,24.3,5.0,2.1,,16.0,157.0,19.0,63.0,0.1,1505.0,119.0,0.51,Libya,4.5
Lithuania,NorthernEurope,65286.0,2890.0,46.1,85.4,41402.0,1.8,14383.7,3.6,29.8,66.5,8.7,24.5,66.8,9.2,125.0,125.0,25025.0,27501.0,-2476.0,-977.0,-1.3,66.5,-0.5,1.6,4.7,4.4,6.6,4.3,4.6,21.3,139.5,71.4,26.0,34.8,74.0,98.0,,Lithuania,26.1
Luxembourg,WesternEurope,2586.0,584.0,225.3,101.0,56802.0,3.5,100160.8,0.2,12.1,87.7,1.3,10.2,88.5,5.6,98.0,98.0,12838.0,19124.0,-6285.0,2962.0,2.2,90.2,1.7,1.5,4.2,3.4,6.9,2.9,4.1,28.3,148.5,97.3,11.0,33.5,6.0,290.0,,Luxembourg,11.3
Madagascar,EasternAfrica,587295.0,25571.0,44.0,99.5,9739.0,3.1,401.8,24.9,18.4,56.7,74.2,9.4,16.5,2.3,119.0,120.0,2256.0,2965.0,-709.0,-622.0,2.7,35.1,4.7,4.4,0.1,36.8,3.0,0.1,2.1,19.2,46.0,4.2,1324.0,21.5,129.0,7.0,7.05,Madagascar,5.5
Malawi,EasternAfrica,118484.0,18622.0,197.5,98.2,6420.0,3.0,372.9,26.1,16.6,57.3,69.9,4.8,25.4,6.8,149.0,150.0,875.0,1649.0,-774.0,-710.0,2.9,16.3,3.8,4.9,25.7,66.5,11.4,,5.6,16.7,35.3,9.3,176.0,33.6,89.0,6.0,16.53,Malawi,5.4
Malaysia,South-easternAsia,330323.0,31624.0,96.3,106.7,296284.0,5.0,9768.4,8.6,39.6,51.8,11.8,27.3,60.9,3.3,122.0,130.0,189414.0,168375.0,21039.0,8960.0,1.8,74.7,2.7,2.1,238.6,6.5,4.2,1.3,5.0,10.4,143.9,71.1,1272.0,67.5,3738.0,118.0,0.0,Malaysia,5.7
Maldives,SouthernAsia,300.0,436.0,1454.4,131.8,3435.0,2.8,9446.5,3.1,22.0,74.9,7.7,22.8,69.5,2.9,65.0,65.0,140.0,2128.0,-1988.0,-326.0,2.8,45.5,4.5,2.2,,9.0,13.7,,5.2,5.9,206.7,54.5,75.0,3.3,0.0,54.0,0.95,Maldives,2.7
Mali,WesternAfrica,1240192.0,18542.0,15.2,100.2,13100.0,7.6,744.3,39.9,19.6,40.5,56.7,14.7,28.6,8.1,154.0,157.0,3030.0,2510.0,520.0,-676.0,2.9,39.9,5.1,6.4,90.8,78.5,7.0,,3.7,8.8,139.6,10.3,42.0,3.9,55.0,4.0,9.45,Mali,4.1
Malta,SouthernEurope,315.0,431.0,1346.4,100.9,9747.0,6.2,23280.7,1.4,15.0,83.6,1.2,20.9,77.9,5.4,96.0,96.0,4039.0,7182.0,-3143.0,539.0,0.5,95.4,0.5,1.4,8.1,4.8,9.7,3.9,7.8,12.5,129.3,76.2,39.0,1.1,1.0,78.0,,Malta,6.1
Mauritania,WesternAfrica,1030700.0,4420.0,4.3,101.6,5023.0,1.2,1235.0,20.9,41.7,37.4,40.3,9.5,50.2,12.0,125.0,125.0,1623.0,2174.0,-551.0,-1066.0,2.9,59.9,3.5,4.9,69.0,68.0,3.8,,2.9,25.2,89.3,15.2,86.0,0.2,31.0,13.0,5.02,Mauritania,3.1
Mauritius,EasternAfrica,1969.0,1265.0,623.2,97.9,11511.0,3.5,9040.9,2.9,22.7,74.4,7.3,25.2,67.5,7.6,96.0,96.0,2194.0,4655.0,-2461.0,-566.0,0.2,39.7,-0.1,1.5,,12.0,4.8,,4.9,11.6,140.6,50.1,257.0,19.0,10.0,51.0,0.67,Mauritius,9.5
Mexico,CentralAmerica,1964375.0,129163.0,66.4,99.2,1140724.0,2.5,8980.9,3.6,36.0,60.4,13.4,25.2,61.3,4.1,120.0,120.0,373883.0,387064.0,-13181.0,-33216.0,1.4,79.2,1.6,2.3,5.9,18.8,6.3,2.1,5.3,42.6,85.3,57.4,1162.0,34.0,8514.0,62.0,0.03,Mexico,5.3
Micronesia (Federated States of),Micronesia,702.0,106.0,150.8,105.1,315.0,3.7,3015.2,27.8,6.5,65.8,,,,,99.0,99.0,6.0,40.0,-34.0,22.0,0.2,22.4,0.3,3.3,0.0,33.2,13.7,,12.5,0.0,30.3,31.5,167.0,91.8,0.0,22.0,34.11,Micronesia (Federated States of),28.2
Mongolia,EasternAsia,1564116.0,3076.0,2.0,97.9,11758.0,2.3,3973.4,14.8,34.1,51.1,28.4,20.7,51.0,6.3,147.0,149.0,4917.0,3358.0,1559.0,-948.0,1.9,72.0,2.8,2.8,0.0,22.8,4.7,2.9,4.6,17.1,105.0,21.4,41.0,8.1,677.0,84.0,2.21,Mongolia,17.9
Montenegro,SouthernEurope,13812.0,629.0,46.8,97.4,4020.0,4.5,6424.1,9.8,17.5,72.6,7.5,17.3,75.2,17.4,66.0,66.0,354.0,2263.0,-1908.0,-533.0,0.1,64.0,0.3,1.7,16.0,4.1,6.4,2.3,,23.5,162.2,64.6,98.0,61.5,29.0,64.0,2.44,Montenegro,21.0
Morocco,NorthernAfrica,446550.0,35740.0,80.1,98.1,100359.0,4.4,2919.3,13.7,28.9,57.4,32.6,20.7,46.8,10.4,130.0,130.0,22858.0,41696.0,-18838.0,-2161.0,1.4,60.2,2.3,2.6,6.4,28.1,5.9,0.6,,20.5,126.9,57.1,207.0,12.6,78.0,23.0,1.51,Morocco,7.2
Mozambique,EasternAfrica,799380.0,29669.0,37.7,95.5,14806.0,6.6,529.2,24.6,21.0,54.4,75.0,4.1,21.0,24.1,137.0,137.0,3352.0,5295.0,-1943.0,-5833.0,2.9,32.2,3.3,5.4,24.0,67.3,7.0,0.1,6.5,39.6,74.2,9.0,309.0,48.5,779.0,20.0,12.54,Mozambique,13.6
Myanmar,South-easternAsia,676577.0,53371.0,81.7,95.5,62601.0,7.3,1161.5,26.7,34.5,38.7,23.6,14.6,61.7,0.8,130.0,128.0,11673.0,15696.0,-4023.0,-3921.0,0.9,34.1,2.5,2.3,1392.1,45.0,2.3,0.6,,10.2,76.7,21.8,321.0,45.3,1078.0,15.0,2.23,Myanmar,2.9
Namibia,SouthernAfrica,824116.0,2534.0,3.1,94.7,11491.0,5.3,4673.6,6.6,30.6,62.8,29.1,14.6,56.3,24.9,88.0,89.0,4816.0,6721.0,-1905.0,-1700.0,2.2,46.7,4.2,3.6,4.8,36.4,,,,41.3,102.1,22.3,115.0,8.5,19.0,31.0,1.24,Namibia,9.7
Nepal,SouthernAsia,147181.0,29305.0,204.4,94.3,20658.0,2.7,724.5,31.8,14.9,53.3,72.6,10.9,16.5,3.0,139.0,139.0,703.0,5249.0,-4547.0,2447.0,1.2,18.6,3.2,2.3,30.7,32.8,5.8,,3.7,29.6,96.8,17.6,104.0,25.4,451.0,19.0,5.73,Nepal,9.0
Netherlands,WesternEurope,41542.0,17036.0,505.2,99.0,750318.0,2.0,44332.1,1.8,20.0,78.2,2.2,15.9,81.9,5.6,115.0,115.0,511714.0,420969.0,90745.0,65129.0,0.3,90.5,1.0,1.7,116.3,3.5,10.9,3.4,5.5,38.0,123.5,93.1,40.0,11.1,2447.0,178.0,,Netherlands,11.8
New Zealand,Oceania,268107.0,4706.0,17.9,96.7,173417.0,3.1,38294.3,6.5,23.0,70.6,5.9,21.4,72.6,5.5,116.0,118.0,33833.0,36423.0,-2589.0,-5501.0,1.1,86.3,1.0,2.0,1.7,4.4,11.0,2.9,6.4,34.2,121.8,88.2,199.0,38.6,783.0,207.0,,New Zealand,11.0
Nicaragua,CentralAmerica,130373.0,6218.0,51.7,97.2,12693.0,4.9,2086.9,18.8,26.8,54.4,24.1,14.5,61.4,6.1,130.0,130.0,2225.0,5927.0,-3701.0,-1045.0,1.2,58.8,2.0,2.3,0.6,20.0,9.0,0.9,,45.7,116.1,19.7,144.0,25.9,91.0,26.0,3.68,Nicaragua,4.4
Niger,WesternAfrica,1267000.0,21477.0,17.0,100.6,7143.0,3.6,359.0,39.6,19.1,41.3,62.3,14.4,23.3,2.7,148.0,148.0,927.0,1861.0,-933.0,-1150.0,3.8,18.7,5.1,7.4,312.5,65.8,6.0,,6.7,17.0,46.5,2.2,34.0,0.9,101.0,5.0,12.26,Niger,5.3
Nigeria,WesternAfrica,923768.0,190886.0,209.6,102.7,494583.0,2.7,2714.5,20.9,20.4,58.8,27.9,14.7,57.4,5.4,116.0,117.0,104084.0,36533.0,67551.0,-15763.0,2.7,47.8,4.7,5.7,2437.5,76.3,3.7,,,5.6,82.2,47.4,361.0,8.1,10851.0,32.0,0.52,Nigeria,3.5
Norway,NorthernEurope,386194.0,5305.0,14.5,101.8,386578.0,1.6,74185.5,1.8,34.6,63.5,2.2,20.2,77.6,5.1,103.0,104.0,89120.0,72473.0,16647.0,33746.0,1.2,80.5,1.3,1.8,73.2,2.4,9.7,4.4,7.4,39.6,113.6,96.8,64.0,33.2,8204.0,233.0,,Norway,11.8
Oman,WesternAsia,309500.0,4636.0,15.0,192.8,69832.0,5.7,15550.8,1.5,51.1,47.3,5.0,39.6,55.4,17.8,134.0,134.0,24455.0,23260.0,1195.0,-10807.0,6.5,77.6,8.5,2.9,0.6,9.6,3.6,1.5,5.0,1.2,159.9,74.2,99.0,0.0,3101.0,239.0,,Oman,4.9
Pakistan,SouthernAsia,796095.0,197016.0,255.6,105.6,266458.0,5.5,1410.4,25.5,19.0,55.5,42.1,19.8,38.1,5.9,135.0,138.0,20534.0,46998.0,-26464.0,-1603.0,2.1,38.8,2.8,3.7,2739.4,69.8,2.6,0.8,2.6,20.6,66.9,18.0,140.0,2.0,2202.0,17.0,1.32,Pakistan,8.9
Panama,CentralAmerica,75320.0,4099.0,55.1,100.4,52132.0,5.8,13268.1,2.8,27.1,70.0,14.5,19.6,65.9,6.2,117.0,118.0,636.0,11697.0,-11061.0,-3377.0,1.7,66.6,2.1,2.6,21.5,15.2,8.0,1.6,3.2,18.3,174.2,51.2,383.0,62.3,31.0,35.0,0.02,Panama,2.9
Papua New Guinea,Melanesia,462840.0,8251.0,18.2,103.5,21315.0,6.6,2797.6,20.1,28.2,51.8,68.3,5.7,26.0,2.5,84.0,83.0,8760.0,8874.0,-114.0,5326.0,2.2,13.0,2.1,3.8,9.7,49.0,4.3,,,2.7,46.6,7.9,493.0,74.1,114.0,22.0,3.51,Papua New Guinea,3.0
Paraguay,SouthAmerica,406752.0,6811.0,17.1,102.9,27714.0,3.1,4174.4,19.0,29.5,51.6,19.6,19.5,61.0,5.5,160.0,166.0,8494.0,9753.0,-1259.0,-462.0,1.3,59.7,2.1,2.6,0.2,28.8,9.8,1.3,5.0,13.8,105.4,44.4,59.0,39.4,325.0,38.0,0.22,Paraguay,6.0
Peru,SouthAmerica,1285216.0,32166.0,25.1,99.8,190428.0,3.3,6069.1,7.6,33.3,59.2,24.4,17.3,58.3,5.3,145.0,148.0,36040.0,36185.0,-145.0,-9210.0,1.3,78.6,1.7,2.5,2.5,18.6,5.5,1.1,4.0,27.7,109.9,40.9,685.0,57.9,1020.0,30.0,0.18,Peru,2.8
Philippines,South-easternAsia,300000.0,104918.0,351.9,101.3,292449.0,5.9,2904.2,10.5,31.3,58.2,27.7,16.3,56.1,5.9,122.0,120.0,56313.0,85909.0,-29596.0,7694.0,1.6,44.4,1.3,3.0,240.2,22.2,4.7,,,29.5,118.1,40.7,783.0,26.2,991.0,19.0,0.15,Philippines,2.2
Poland,EasternEurope,312679.0,38171.0,124.6,93.4,477066.0,3.9,12355.5,2.6,34.1,63.3,10.9,29.6,59.5,5.3,113.0,113.0,196455.0,188518.0,7937.0,-2932.0,0.0,60.5,-0.1,1.3,23.7,4.5,6.4,2.3,4.9,28.0,148.7,68.0,58.0,30.7,2819.0,102.0,,Poland,11.3
Portugal,SouthernEurope,92226.0,10330.0,112.8,89.8,199122.0,1.6,19239.2,2.3,22.3,75.4,8.0,23.8,68.2,10.5,104.0,104.0,55658.0,67580.0,-11922.0,842.0,-0.4,63.5,1.0,1.3,1.8,2.9,9.5,4.4,5.1,34.8,110.4,68.6,281.0,34.9,250.0,84.0,,Portugal,11.5
Qatar,WesternAsia,11607.0,2639.0,227.3,301.2,164641.0,3.6,73653.4,0.2,56.4,43.5,1.2,54.1,44.7,0.3,154.0,154.0,57254.0,32058.0,25196.0,13751.0,6.6,99.2,6.0,2.0,1.5,7.2,2.2,2.0,3.6,0.0,153.6,92.9,39.0,0.0,9166.0,846.0,,Qatar,5.8
Republic of Korea,EasternAsia,100284.0,50982.0,524.3,100.2,1377873.0,2.6,27396.7,2.3,38.0,59.7,5.0,24.7,70.3,3.6,104.0,104.0,495418.0,406182.0,89236.0,105871.0,0.4,82.5,0.7,1.2,8.0,3.0,7.4,2.2,5.1,17.0,118.5,89.9,111.0,63.5,2023.0,223.0,,Republic of Korea,28.6
Republic of Moldova,EasternEurope,33846.0,4051.0,123.3,92.2,6475.0,-0.7,1591.4,13.4,20.8,65.8,28.8,30.9,40.3,5.0,109.0,109.0,2045.0,4020.0,-1975.0,-415.0,-0.1,45.0,-0.7,1.3,5.5,14.3,10.3,2.5,7.5,22.8,108.0,49.8,35.0,12.3,15.0,23.0,4.49,Republic of Moldova,14.7
Romania,EasternEurope,238391.0,19679.0,85.5,94.0,177956.0,3.7,9120.7,4.8,34.9,60.3,25.5,27.7,46.8,7.1,100.0,100.0,63581.0,74605.0,-11024.0,-2096.0,-0.6,54.6,0.0,1.5,3.2,8.7,5.6,2.7,3.1,20.7,107.1,55.8,104.0,29.5,1109.0,68.0,,Romania,9.7
Russian Federation,EasternEurope,17098246.0,143990.0,8.8,86.8,1326016.0,-3.7,9243.3,4.7,31.8,63.5,6.8,27.1,66.1,5.8,120.0,120.0,285491.0,182257.0,103234.0,69000.0,0.1,74.0,-0.1,1.7,418.4,8.3,7.1,3.3,3.9,15.8,160.0,73.4,235.0,49.8,54829.0,208.0,,Russian Federation,25.1
Rwanda,EasternAfrica,26338.0,12208.0,494.9,96.2,8096.0,6.9,697.3,34.6,15.1,50.3,75.0,7.2,17.8,2.4,139.0,139.0,622.0,1778.0,-1157.0,-1099.0,2.5,28.8,6.4,4.2,155.1,44.0,7.5,,3.6,61.3,70.5,18.0,62.0,19.2,84.0,8.0,13.67,Rwanda,5.6
Saint Lucia,Caribbean,539.0,179.0,293.2,95.9,1450.0,1.9,7839.4,2.7,12.9,84.4,14.8,17.6,67.6,19.0,69.0,69.0,120.0,654.0,-535.0,-100.0,0.5,18.5,0.9,1.5,0.0,10.9,6.7,,4.9,16.7,101.5,52.4,62.0,33.4,0.0,33.0,0.97,Saint Lucia,7.9
Saint Vincent and the Grenadines,Caribbean,389.0,110.0,281.8,101.7,738.0,1.6,6739.2,7.5,17.2,75.3,22.1,16.1,61.8,19.1,115.0,115.0,47.0,335.0,-288.0,-210.0,0.0,50.6,0.7,2.0,,16.5,8.6,,,13.0,103.6,51.8,58.0,69.2,0.0,29.0,1.8,Saint Vincent and the Grenadines,1.0
